title,publication_date,author,url,primary_topic,primary_category,teaser,market_items
How to Create the Telephone EQ Effect,25 Oct 2018,Daniel Strongin,https://music.tutsplus.com/tutorials/how-to-create-the-telephone-eq-effect--cms-30981,Music & Audio,,"In this tutorial, I'll show you how to create a telephone EQ effect. With simple EQ shaping, with any equaliser, you can achieve the effect of hearing a...",
Keyboard Accessibility Tips Using HTML and CSS,26 Oct 2018,Anna Monus,https://webdesign.tutsplus.com/articles/keyboard-accessibility-tips-using-html-and-css--cms-31966,Web Design,,Making your website accessible for keyboard-only users is an important part of the bigger accessibility picture. Here are some keyboard accessibility tips...,
20 Royalty-Free Horror Music Tracks,26 Oct 2018,Dacia Egurrola,https://music.tutsplus.com/tutorials/20-royalty-free-horror-music-tracks--cms-32034,Music & Audio,,"Darkness falls across the land. And with the midnight hour close at hand, it's a perfect opportunity to check out the best royalty-free horror music tracks...","17586,20658,58490,67061,82653,129847,159364,593066,1666748,1839214,3048036,3142563,3164881,3183779,3203759,3269248,5656848,7040856,13202685,13325785"
"We're Looking for Instructors in Print Design, Typography, and Microsoft Word",25 Oct 2018,Sharon Milne,https://design.tutsplus.com/articles/get-paid-to-write-tutorials-microsoft-word-print-design--cms-31885,Design & Illustration,,"We're looking to pay writers to create content for Print Design, Typography and... Microsoft Word. We're looking for written and video content.",
How to Create a Split Image Poster in Adobe Photoshop,25 Oct 2018,Laura Keung,https://design.tutsplus.com/tutorials/how-to-create-a-split-image-poster-in-adobe-photoshop--cms-31833,Design & Illustration,,"Learn how to create an amazing split image music poster. In this tutorial, we will be using a mix of basic Photoshop tools that will let us achieve a...",
Proper Letter Format: How to Write a Business Letter Correctly,25 Oct 2018,Charley Mendoza,https://business.tutsplus.com/tutorials/proper-letter-format-business-letter--cms-32064,Business,,Do you know the correct letter format for a business letter? This skill isn't as useless as some might think. It will come in handy one day when you need a...,
How to Create Paint Art Style Images With Photoshop Photo Effects (Actions),25 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/how-to-ccreate-paint-art-photo-effects-photoshop-actions--cms-32051,Photo & Video,,"Get amazing colour and art effects in your photographs quickly and easily, with this selection of Photoshop actions from Envato Elements.",
Effectiveness vs. Efficiency: Which Is More Important (+Why)?,26 Oct 2018,Harry Guinness,https://business.tutsplus.com/tutorials/effectiveness-vs-efficiency-which-is-more-important--cms-32037,Business,,"Do you ever wonder about efficiency versus effectiveness? It's better to be effective, but being efficient can often seem easier. Here's how to put both into...",
How to Create a Spanish 3D Text Effect in Adobe Illustrator,26 Oct 2018,Andrei Marius,https://design.tutsplus.com/tutorials/how-to-create-a-spanish-3d-text-effect-in-adobe-illustrator--cms-31843,Design & Illustration,,"In the following steps you will learn how to create a Spanish 3D text effect in Adobe Illustrator. ",
"Designing Accessible Content: Typography, Font Styling, and Structure",25 Oct 2018,Carie Fisher,https://webdesign.tutsplus.com/articles/designing-accessible-content-typography-font-styling-and-structure--cms-31934,Web Design,,Let’s look at all the steps and design considerations you’ll need to take into account when making your content more accessible.,
How to Create a New Outlook.Com Email Account (Quick Start Guide),25 Oct 2018,Laura Spencer,https://business.tutsplus.com/tutorials/create-new-outlook-email-account--cms-32061,Business,,Are you thinking about signing up for Outlook.com email? In this written tutorial and video you'll learn how to use the Outlook sign up to create a new...,
How to Create a Mexican Fiesta Poster in Adobe InDesign,25 Oct 2018,Grace Fussell,https://design.tutsplus.com/tutorials/how-to-create-a-mexican-fiesta-poster-in-adobe-indesign--cms-31867,Design & Illustration,,"We’re celebrating all things to do with Mexico this week! This is a fun and festive poster design that would translate well to food or music events. ",
Keyboard Accessibility Tips Using HTML and CSS,26 Oct 2018,Anna Monus,https://webdesign.tutsplus.com/articles/keyboard-accessibility-tips-using-html-and-css--cms-31966,Web Design,,Making your website accessible for keyboard-only users is an important part of the bigger accessibility picture. Here are some keyboard accessibility tips...,
"We're Looking for Instructors in Print Design, Typography, and Microsoft Word",25 Oct 2018,Sharon Milne,https://design.tutsplus.com/articles/get-paid-to-write-tutorials-microsoft-word-print-design--cms-31885,Design & Illustration,,"We're looking to pay writers to create content for Print Design, Typography and... Microsoft Word. We're looking for written and video content.",
How to Create the Telephone EQ Effect,25 Oct 2018,Daniel Strongin,https://music.tutsplus.com/tutorials/how-to-create-the-telephone-eq-effect--cms-30981,Music & Audio,,"In this tutorial, I'll show you how to create a telephone EQ effect. With simple EQ shaping, with any equaliser, you can achieve the effect of hearing a...",
How to Create a Split Image Poster in Adobe Photoshop,25 Oct 2018,Laura Keung,https://design.tutsplus.com/tutorials/how-to-create-a-split-image-poster-in-adobe-photoshop--cms-31833,Design & Illustration,,"Learn how to create an amazing split image music poster. In this tutorial, we will be using a mix of basic Photoshop tools that will let us achieve a...",
How to Create Paint Art Style Images With Photoshop Photo Effects (Actions),25 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/how-to-ccreate-paint-art-photo-effects-photoshop-actions--cms-32051,Photo & Video,,"Get amazing colour and art effects in your photographs quickly and easily, with this selection of Photoshop actions from Envato Elements.",
20 Royalty-Free Horror Music Tracks,26 Oct 2018,Dacia Egurrola,https://music.tutsplus.com/tutorials/20-royalty-free-horror-music-tracks--cms-32034,Music & Audio,,"Darkness falls across the land. And with the midnight hour close at hand, it's a perfect opportunity to check out the best royalty-free horror music tracks...","17586,20658,58490,67061,82653,129847,159364,593066,1666748,1839214,3048036,3142563,3164881,3183779,3203759,3269248,5656848,7040856,13202685,13325785"
Effectiveness vs. Efficiency: Which Is More Important (+Why)?,26 Oct 2018,Harry Guinness,https://business.tutsplus.com/tutorials/effectiveness-vs-efficiency-which-is-more-important--cms-32037,Business,,"Do you ever wonder about efficiency versus effectiveness? It's better to be effective, but being efficient can often seem easier. Here's how to put both into...",
How to Create a Spanish 3D Text Effect in Adobe Illustrator,26 Oct 2018,Andrei Marius,https://design.tutsplus.com/tutorials/how-to-create-a-spanish-3d-text-effect-in-adobe-illustrator--cms-31843,Design & Illustration,,"In the following steps you will learn how to create a Spanish 3D text effect in Adobe Illustrator. ",
"Designing Accessible Content: Typography, Font Styling, and Structure",25 Oct 2018,Carie Fisher,https://webdesign.tutsplus.com/articles/designing-accessible-content-typography-font-styling-and-structure--cms-31934,Web Design,,Let’s look at all the steps and design considerations you’ll need to take into account when making your content more accessible.,
How to Create a Mexican Fiesta Poster in Adobe InDesign,25 Oct 2018,Grace Fussell,https://design.tutsplus.com/tutorials/how-to-create-a-mexican-fiesta-poster-in-adobe-indesign--cms-31867,Design & Illustration,,"We’re celebrating all things to do with Mexico this week! This is a fun and festive poster design that would translate well to food or music events. ",
How to Create a 3D Text Art Effect in Adobe Illustrator,24 Oct 2018,Andrei Marius,https://design.tutsplus.com/tutorials/how-to-create-a-3d-text-art-effect-in-adobe-illustrator--cms-31863,Design & Illustration,,"In the following steps, you will learn how to create a 3D text art effect in Adobe Illustrator. ",
20+ Best Free Infographic PowerPoint Templates for Data Rich Presentations,23 Oct 2018,Laura Spencer,https://business.tutsplus.com/articles/best-free-infographic-powerpoint-templates--cms-32041,Business,,"Do you want to get an infographic template for PowerPoint for free? If so, think carefully about your choice. In this article I list over 20 free infographic...","8824861,11265090,20044667,20864802,20926849"
New Course: Website Accessibility With ARIA Roles,24 Oct 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/new-course-website-accessibility-with-aria-roles--cms-32054,Web Design,,"Learn how to make your websites accessible to as many people as possible by watching our new short course, Website Accessibility With ARIA Roles.",
How to Time Your Slides On Google Slides in 60 Seconds,24 Oct 2018,Andrew Childress,https://business.tutsplus.com/tutorials/how-to-time-slides-on-google-slides--cms-31939,Business,,Learn how to time slides on Google Slides in this short video and written tutorial. We'll also share other resources to help you get up to speed on Google...,
Quick Tip: Use the “lang” Attribute for Better Accessibility,23 Oct 2018,Eric Bailey,https://webdesign.tutsplus.com/tutorials/use-the-lang-attribute-for-better-accessibility--cms-31961,Web Design,,"The “lang” attribute is one of the global HTML attributes developers can apply to any HTML element–it can really help with accessibility, here’s how!",
How We Test for Accessibility at Envato (Tools and Tips),24 Oct 2018,Luke Jones,https://webdesign.tutsplus.com/articles/how-we-test-for-accessibility-at-envato--cms-31952,Web Design,,Tackling the challenge of creating an accessible website–or making an existing website accessible–can sometimes be a difficult task. In this post I’ll show...,
"How to Create a Textured, Hand-Lettered Card in Adobe Photoshop",24 Oct 2018,Elizaveta Akimova,https://design.tutsplus.com/tutorials/how-to-create-a-textured-hand-lettered-card-in-adobe-photoshop--cms-31782,Design & Illustration,,Learn how to create a decorative hand lettered card with Adobe Photoshop using vector shapes and texture brushes. We will draw a Valentine's card with a...,
5 Amazing Assets for Uplifting Church Videos,24 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/5-amazing-assets-for-outstanding-church-video--cms-32078,Photo & Video,,Create engaging and uplifting video for your church or congregation with our 5 Amazing Assets from Envato Elements.,
How to Make Cool Glass  Effects in Photoshop (With 3 Actions),23 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/how-to-make-cool-glass-effects-in-photoshop-with-actions--cms-32056,Photo & Video,,"Fancy creating some cool, glass-themed effects on your photographs? Try these stylish Photoshop actions from Envato Elements to bring new life to tired images.",
Proper Letter Format: How to Write a Business Letter Correctly,25 Oct 2018,Charley Mendoza,https://business.tutsplus.com/tutorials/proper-letter-format-business-letter--cms-32064,Business,,Do you know the correct letter format for a business letter? This skill isn't as useless as some might think. It will come in handy one day when you need a...,
How to Create a New Outlook.Com Email Account (Quick Start Guide),25 Oct 2018,Laura Spencer,https://business.tutsplus.com/tutorials/create-new-outlook-email-account--cms-32061,Business,,Are you thinking about signing up for Outlook.com email? In this written tutorial and video you'll learn how to use the Outlook sign up to create a new...,
"15+ шаблонаў гадавых справаздач - з выдатнымі макетамі ў InDesign
",24 Oct 2018,Sean Hodge,https://business.tutsplus.com/be/articles/awesome-annual-report-indesign-templates--cms-27785,Business,,"Калі прыходзіць час ствараць дызайн гадавога справаздачы для кампаніі, гэта здаецца страшнай задачай. Каб зрабіць якасны гадавы справаздачу, трэба:
","8536189,11959254,12705504,12828233,13185075,14985988,15088235,15330832,15487461,15522022,15569044,17016739,17619117,17642638,18069478,18159163"
The Graphic Designer's Resource Kit,24 Oct 2018,Mary Winkler,https://design.tutsplus.com/articles/the-graphic-designers-resource-kit--cms-26141,Design & Illustration,,Getting into graphic design and don't know what resources you need? Here is a  recommended graphic design pack for you where you can pick which items you...,"105969,135084,146289,159471,179707,234665,480906,610454,622942,737528,806990,1537817,2167233,2310618,2356999,2793783,3051325,3116716,3583142,3585861,3594633,3803506,5377621,5442667,5689835,5936118,6457177,6532107,6770720,6902275,6972765,7031527,7354082,7502114,7688347,7842645,7966494,8063653,8095568,8146217,8332398,8512577,8795063,8994488,9184160,9271483,9277291,9434136,10001649,10012562,10072038,10277889,10434488,10943099,11130070,11175494,11265882,11319908,12016334,12372416,12465378,12793441,12953896,13004667,13530983,13640309,13651594,13903079,13924174,14107306,14350345,14461183,14461253,14830388,16369415,16958393"
How to Use the Wind Blast Effect in Adobe Photoshop,23 Oct 2018,Laura Keung,https://design.tutsplus.com/tutorials/how-to-use-the-wind-blast-effect-in-adobe-photoshop--cms-31823,Design & Illustration,,"In this tutorial, we will learn how to use the popular wind blast effect to create a neoclassic style poster in Adobe Photoshop. 
",
How to Do a Webinar Right: 10+ Training Tutorials (Must-Read),22 Oct 2018,Brenda Barron,https://business.tutsplus.com/tutorials/how-to-do-a-webinar--cms-31979,Business,,"This collection of webinar training tutorials will help you learn what you need to do to launch an awesome webinar for any aspect of your business. ",
How to Create a Spain-Inspired Text Effect in Adobe Illustrator,21 Oct 2018,Andrei Marius,https://design.tutsplus.com/tutorials/how-to-create-a-spain-inspired-text-effect-in-adobe-illustrator--cms-29230,Design & Illustration,,"In the following steps, you will learn how to create a fully editable Spain-inspired text effect in Adobe Illustrator. ",
"Cool Logo Maker: 20+ Minimalist Logo Designs to Customize (2018) ",21 Oct 2018,Melody Nieves,https://design.tutsplus.com/articles/cool-logo-maker-20-minimalist-logo-designs-to-customize-2018--cms-31775,Design & Illustration,,A custom logo maker can transform your brand identity in seconds! Check out this list of premium templates from Placeit and Envato Elements.,
The Importance of Heading Levels for Assistive Technology,22 Oct 2018,Eric Bailey,https://webdesign.tutsplus.com/articles/the-importance-of-heading-levels-for-assistive-technology--cms-31753,Web Design,,Navigating via headings is the most important way people who rely on assistive technology locate information. It’s therefore really important to craft your...,
20 Best HTML5 Game Templates of 2018 With Source Code,22 Oct 2018,Eric Dye,https://code.tutsplus.com/tutorials/20-best-html5-game-templates-of-2017--cms-28892,Code,,Here are the 20 best HTML5 game templates and engines of 2018. Whether you already have a game concept to build or would like a fun way to learn more about...,"5569360,7152642,7516226,7909037,8075945,8315639,9091974,9616471,9929265,10411859,10983641,13856421,15133143,15654207,15797991,17072843,18298073,18381943,19786080,19986805,22097696,22097866,22101960,22122247,22123134,22123623"
How to Create a Minimalist La Llorona Photo Manipulation in Adobe Photoshop,22 Oct 2018,Abbey Esparza,https://design.tutsplus.com/tutorials/create-a-minimalist-la-llorona-photo-manipulation-in-adobe-photoshop--cms-31668,Design & Illustration,,"Today, we will be bringing the infamous ghost from Mexican folklore La Llorona, otherwise known as the ""Weeping Woman"", to life using Adobe Photoshop!   ",
New Course: Create Custom WordPress Queries With WP_Query,23 Oct 2018,Andrew Blackman,https://code.tutsplus.com/articles/new-course-create-custom-wordpress-queries-with-wp_query--cms-32017,Code,,"Our new course, Create Custom Queries in WordPress With WP_Query, will show you the power of WP_Query and take you through the details of how to use it.",
How to Use the Contrast Checker in Chrome DevTools,22 Oct 2018,Kezz Bracey,https://webdesign.tutsplus.com/articles/how-to-use-the-contrast-checker-in-chrome-devtools--cms-31504,Web Design,,How can we be certain the color contrast levels in our web designs are accessibility friendly? That’s where Chrome Dev Tools can help out.,
How to Make Custom Accessible Checkboxes and Radio Buttons,23 Oct 2018,Sami Keijonen,https://webdesign.tutsplus.com/tutorials/how-to-make-custom-accessible-checkboxes-and-radio-buttons--cms-32074,Web Design,,"In this tutorial I’ll explain how to customize the appearance of checkboxes and radio buttons, whilst making sure that they remain accessible for Assistive...",
How to Create a Distressed Painted Wall Text Effect in InDesign,23 Oct 2018,Grace Fussell,https://design.tutsplus.com/tutorials/quick-tip-how-to-create-a-distressed-painted-wall-text-effect-in-indesign--cms-31755,Design & Illustration,,"This quick and simple text effect will transport you to the colorful streets of Mexico. It's easy to put together using Adobe InDesign, and you can adapt the...",
Creating a Magnum Mecha Character in Maya: Part 9,23 Oct 2018,Soni Kumari,https://cgi.tutsplus.com/tutorials/creating-a-magnum-mecha-character-in-maya-part-9--cms-30797,3D & Motion Graphics,,"In this part of the tutorial, I'll show you how to create control curves, IK controls and linking controls to the IKs.",
Angular Authentication With JWT,22 Oct 2018,Esther Vaati,https://code.tutsplus.com/tutorials/jwt-authentication-in-angular--cms-32006,Code,,"Security is an important part of every web app, and devs must ensure that they design apps with secure authentication. In this tutorial, you'll learn how to...",
